locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
1948,"Compton","pm25",9.1,"2022-12-29T20:00:00+00:00","2022-12-29T12:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.004,"2022-12-29T20:00:00+00:00","2022-12-29T12:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.031,"2022-12-29T19:00:00+00:00","2022-12-29T11:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",9.3,"2022-12-29T19:00:00+00:00","2022-12-29T11:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0056,"2022-12-29T19:00:00+00:00","2022-12-29T11:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-29T19:00:00+00:00","2022-12-29T11:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",12.2,"2022-12-29T18:00:00+00:00","2022-12-29T10:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0084,"2022-12-29T18:00:00+00:00","2022-12-29T10:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.027,"2022-12-29T18:00:00+00:00","2022-12-29T10:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.2,"2022-12-29T18:00:00+00:00","2022-12-29T10:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.016,"2022-12-29T17:00:00+00:00","2022-12-29T09:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0182,"2022-12-29T17:00:00+00:00","2022-12-29T09:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",8.5,"2022-12-29T17:00:00+00:00","2022-12-29T09:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.3,"2022-12-29T17:00:00+00:00","2022-12-29T09:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0272,"2022-12-29T16:00:00+00:00","2022-12-29T08:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",10.2,"2022-12-29T16:00:00+00:00","2022-12-29T08:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.5,"2022-12-29T16:00:00+00:00","2022-12-29T08:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.004,"2022-12-29T16:00:00+00:00","2022-12-29T08:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.7,"2022-12-29T15:00:00+00:00","2022-12-29T07:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.001,"2022-12-29T15:00:00+00:00","2022-12-29T07:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",11.2,"2022-12-29T15:00:00+00:00","2022-12-29T07:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0267,"2022-12-29T15:00:00+00:00","2022-12-29T07:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0242,"2022-12-29T14:00:00+00:00","2022-12-29T06:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.6,"2022-12-29T14:00:00+00:00","2022-12-29T06:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.001,"2022-12-29T14:00:00+00:00","2022-12-29T06:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",4.9,"2022-12-29T14:00:00+00:00","2022-12-29T06:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.4,"2022-12-29T13:00:00+00:00","2022-12-29T05:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",8.8,"2022-12-29T13:00:00+00:00","2022-12-29T05:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0203,"2022-12-29T13:00:00+00:00","2022-12-29T05:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.004,"2022-12-29T13:00:00+00:00","2022-12-29T05:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.3,"2022-12-29T12:00:00+00:00","2022-12-29T04:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",10.7,"2022-12-29T12:00:00+00:00","2022-12-29T04:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.012,"2022-12-29T12:00:00+00:00","2022-12-29T04:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0145,"2022-12-29T12:00:00+00:00","2022-12-29T04:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.011,"2022-12-29T11:00:00+00:00","2022-12-29T03:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",11.2,"2022-12-29T11:00:00+00:00","2022-12-29T03:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0163,"2022-12-29T11:00:00+00:00","2022-12-29T03:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.3,"2022-12-29T11:00:00+00:00","2022-12-29T03:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.004,"2022-12-29T10:00:00+00:00","2022-12-29T02:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
